slug,side,stake,buy_price,n_contracts,opened_at,resolves_at,horizon,edge,touch_price,won,gross_payout,fee_cost,pnl_net,family
bitcoin-up-or-down-on-september-3-2026,buy_yes,398.6014989,0.515,773.9834930097088,2026-09-02 16:02:17.502550+00:00,2026-09-03 15:59:59.999999999+00:00,24.0,0.06703689280437863,0.51,True,773.9834930097088,0.0,375.3819941097088,daily
bitcoin-up-or-down-on-september-4-2026,buy_yes,147.8614982,0.515,287.10970524271846,2026-09-03 16:01:56.815506+00:00,2026-09-04 15:59:59.999999998+00:00,24.0,0.08334155837628876,0.51,False,0.0,0.0,-147.8614982,daily
bitcoin-up-or-down-on-september-5-2026,buy_yes,1557.9119345399938,0.675,2308.0176807999906,2026-09-05 04:02:04.683280+00:00,2026-09-05 16:00:00.000000001+00:00,12.0,0.04629438859252022,0.67,True,2308.0176807999906,0.0,750.1057462599967,daily
bitcoin-up-or-down-on-september-6-2026,buy_yes,26.503884900000003,0.535,49.539971775700934,2026-09-05 16:02:02.208685+00:00,2026-09-06 16:00:00.000000001+00:00,24.0,0.09482965436108337,0.53,False,0.0,0.0,-26.503884900000003,daily
bitcoin-up-or-down-on-september-7-2026,buy_yes,20.906183300000002,0.505,41.39838277227723,2026-09-06 16:01:53.997148+00:00,2026-09-07 16:00:00.000000001+00:00,24.0,0.03132551736691891,0.5,False,0.0,0.0,-20.906183300000002,daily
bitcoin-up-or-down-september-2-2026-5am-et,buy_no,449.7875,0.773677255894369,581.3632190596669,2026-09-02 09:32:29.732610+00:00,2026-09-02 09:59:59.999999998+00:00,0.5,0.09514223054264659,0.76,True,581.3632190596669,0.0,131.57571905966688,hourly
bitcoin-up-or-down-september-2-2026-6am-et,buy_no,151.83255440000002,0.6849999999999999,221.65336408759129,2026-09-02 10:12:45.027820+00:00,2026-09-02 10:59:59.999999999+00:00,0.75,0.10155697680304165,0.6799999999999999,True,221.65336408759129,0.0,69.82080968759126,hourly
bitcoin-up-or-down-september-2-2026-7am-et,buy_yes,147.33,0.553334974816835,266.25824627978596,2026-09-02 11:42:59.130554+00:00,2026-09-02 11:59:59.999999999+00:00,0.25,0.10773655535320059,0.54,True,266.25824627978596,0.0,118.92824627978595,hourly
bitcoin-up-or-down-september-2-2026-8am-et,buy_no,779.3181,0.42628916608870904,1828.1442785665988,2026-09-02 12:42:58.270043+00:00,2026-09-02 12:59:59.999999998+00:00,0.25,0.08658404729353697,0.42000000000000004,True,1828.1442785665988,0.0,1048.8261785665989,hourly
bitcoin-up-or-down-september-2-2026-9am-et,buy_no,149.496,0.3996001696272345,374.11395530551647,2026-09-02 13:32:38.730676+00:00,2026-09-02 14:00:00.000000001+00:00,0.5,0.04857620435421933,0.39,False,0.0,0.0,-149.496,hourly
bitcoin-up-or-down-september-2-2026-10am-et,buy_yes,29.79296560000001,0.585,50.92814632478635,2026-09-02 14:12:45.999229+00:00,2026-09-02 15:00:00+00:00,0.75,0.05307426515051483,0.58,False,0.0,0.0,-29.79296560000001,hourly
bitcoin-up-or-down-september-2-2026-11am-et,buy_no,60.4933232,0.8049999999999999,75.14698534161491,2026-09-02 15:13:23.805207+00:00,2026-09-02 15:59:59.999999998+00:00,0.75,0.12031459040331582,0.8,False,0.0,0.0,-60.4933232,hourly
bitcoin-up-or-down-september-2-2026-12pm-et,buy_no,193.89999999999998,0.4309575261028727,449.92832995267065,2026-09-02 16:43:12.033874+00:00,2026-09-02 17:00:00.000000001+00:00,0.25,0.1624123232331834,0.42000000000000004,True,449.92832995267065,0.0,256.0283299526707,hourly
bitcoin-up-or-down-september-2-2026-1pm-et,buy_no,70.5599145,0.525,134.39983714285714,2026-09-02 17:12:10.435335+00:00,2026-09-02 17:59:59.999999998+00:00,0.75,0.12865920064260183,0.52,False,0.0,0.0,-70.5599145,hourly
bitcoin-up-or-down-september-2-2026-2pm-et,buy_no,288.6055807,0.46499999999999997,620.657162795699,2026-09-02 18:12:46.116568+00:00,2026-09-02 18:59:59.999999999+00:00,0.75,0.030914916924486446,0.45999999999999996,True,620.657162795699,0.0,332.051582095699,hourly
bitcoin-up-or-down-september-2-2026-3pm-et,buy_no,5.918235,0.615,9.623146341463414,2026-09-02 19:12:57.017569+00:00,2026-09-02 20:00:00+00:00,0.75,0.053871398004656346,0.61,True,9.623146341463414,0.0,3.704911341463414,hourly
bitcoin-up-or-down-september-2-2026-4pm-et,buy_yes,539.5481733,0.7614424114134817,708.5869728459508,2026-09-02 20:33:11.316043+00:00,2026-09-02 20:59:59.999999999+00:00,0.5,0.0338252299794114,0.75,True,708.5869728459508,0.0,169.03879954595072,hourly
bitcoin-up-or-down-september-2-2026-5pm-et,buy_no,19.3064506,0.625,30.890320960000004,2026-09-02 21:12:54.000459+00:00,2026-09-02 22:00:00+00:00,0.75,0.08291667206014797,0.62,True,30.890320960000004,0.0,11.583870360000002,hourly
bitcoin-up-or-down-september-2-2026-6pm-et,buy_no,2.3630000000000004,0.725,3.259310344827587,2026-09-02 22:12:56.736801+00:00,2026-09-02 23:00:00+00:00,0.75,0.075232945576435,0.72,True,3.259310344827587,0.0,0.8963103448275866,hourly
