timestamp,family,slug,raw_probability,calibrated_fair_value,recommended_action,paper_stake,hours_to_resolution,market_volume,best_bid,best_ask,spread,buy_depth_1c,buy_depth_2c,buy_depth_5c,sell_depth_1c,no_buy_depth_1c,no_buy_depth_2c,outcome
2026-08-26T16:08:05.517300+00:00,hourly,bitcoin-up-or-down-august-26-2026-12pm-et,0.655,0.6209728141515503,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-26T16:12:26.964787+00:00,hourly,bitcoin-up-or-down-august-26-2026-12pm-et,0.605,0.5738788065882695,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-26T17:09:35.907330+00:00,hourly,bitcoin-up-or-down-august-26-2026-1pm-et,0.675,0.6506840457751721,NO_TRADE,0.0,,,,,,,,,,,,1
2026-08-26T19:27:54.291999+00:00,hourly,bitcoin-up-or-down-august-26-2026-3pm-et,0.655,0.6230512381629769,NO_TRADE,0.0,,,,,,,,,,,,1
2026-08-26T22:25:26.407612+00:00,hourly,bitcoin-up-or-down-august-26-2026-6pm-et,0.7,0.6471376005979362,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T03:27:20.319310+00:00,hourly,bitcoin-up-or-down-august-26-2026-11pm-et,0.835,0.8558377074615923,NO_TRADE,0.0,,,,,,,,,,,,1
2026-08-27T11:19:36.396444+00:00,hourly,bitcoin-up-or-down-august-27-2026-7am-et,0.59,0.43848414177675565,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T11:28:56.902601+00:00,hourly,bitcoin-up-or-down-august-27-2026-7am-et,0.395,0.21611773336333573,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T11:33:06.923169+00:00,hourly,bitcoin-up-or-down-august-27-2026-7am-et,0.21000000000000002,0.09473662276744693,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T11:42:59.065686+00:00,hourly,bitcoin-up-or-down-august-27-2026-7am-et,0.07,0.035016543256936365,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T11:50:14.624085+00:00,hourly,bitcoin-up-or-down-august-27-2026-7am-et,0.015,0.00948153444282118,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T11:53:17.120858+00:00,hourly,bitcoin-up-or-down-august-27-2026-7am-et,0.0125,0.007632604798456628,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T12:03:07.690173+00:00,hourly,bitcoin-up-or-down-august-27-2026-8am-et,0.545,0.46445841174879143,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T12:13:13.660375+00:00,hourly,bitcoin-up-or-down-august-27-2026-8am-et,0.5700000000000001,0.43849334061547296,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T12:22:19.723120+00:00,hourly,bitcoin-up-or-down-august-27-2026-8am-et,0.545,0.4340037915427432,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T12:33:12.185033+00:00,hourly,bitcoin-up-or-down-august-27-2026-8am-et,0.48,0.39615569223932046,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T12:43:05.449711+00:00,hourly,bitcoin-up-or-down-august-27-2026-8am-et,0.11,0.04744412083709361,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T12:52:13.666596+00:00,hourly,bitcoin-up-or-down-august-27-2026-8am-et,0.03,0.016686246423003516,NO_TRADE,0.0,,,,,,,,,,,,0
2026-08-27T13:03:29.379063+00:00,hourly,bitcoin-up-or-down-august-27-2026-9am-et,0.565,0.4514434234247712,NO_TRADE,0.0,,,,,,,,,,,,1
