model,scenario,n_signals,n_fills,fill_rate,gross_pnl,net_pnl,final_equity,note,strategy,n_unfilled,return_on_deployed_capital,total_return_on_initial_capital,max_drawdown,sharpe_per_trade,sharpe_sample_size_warning,hit_rate,avg_gross_edge,avg_net_expected_edge,total_fees,total_slippage_cost_est,turnover,avg_position_size,avg_holding_period_hours
raw_probability,live,0,0,0.0,0.0,0.0,100000.0,no trades executed,raw_probability_strategy,,,,,,,,,,,,,,
logistic_calibration,live,129,129,1.0,-4483.4432168703315,-4483.4432168703315,95516.5567831296,,calibration_only_strategy,0.0,-0.019043275073195656,-0.04483443216870393,0.10699593834863493,-0.03730934450374842,False,0.751937984496124,0.05139179510092999,0.04636553098631476,0.0,1183.2725051513598,235434.461752905,1825.0733469217441,9.720930232558139
full_feature_model,live,355,355,1.0,29556.740224701454,29556.740224701454,129556.74022470157,,full_feature_strategy,0.0,0.04446966766098944,0.2955674022470157,0.19427042994688057,0.05218930661230209,False,0.5690140845070423,0.08734460396350516,0.08231040458149894,0.0,3345.3277158245487,664649.4516222752,1872.2519764007752,19.146478873239438
